CCR,response,actual,Prediction
Can you elaborate more on why ignoreAbsent is needed? It wasn't clear to me why this is needed at the call site with 'true'.,"When moving segments out after publishing them, some of the published segments may be already moved out from activeSegments due to the ```maxRowsPerSegment``` limit. I added a comment.",0,1
"Unit testing the presence of logging messages should be avoided in general, as it introduces a greater degree of evaluation than necessary, making it more difficult to refactor.","The result of the Dump, Env and FlowStatus commands are written to the console, so this was the only way to test the proper functionality, but I dropped it and relying on the status code now.",0,1
Please use more meaningful error log.,"That is a common method for ""get error code from CompetableFuture"", could not append more clear description",1,0
"The `\` is not needed if the line break is moved.

```python
from homeassistant.components.binary_sensor import (
    BinarySensorDevice, ...)
```",Fixed,0,0
"Does special casing this actually get us anything? It should return the same results without this if, right?",right,0,1
"Can we turn this into an immutable object instead, i.e., build up the list of nodes in `Hosts` constructor and then create this `Host` object in one go with the list?",Maybe I can add a `HostBuilder` class for collect nodes and turn it into a immutable list in `build()`,0,1
"if writeQuorumSize of a ledger is less than minNumRacksPerWriteQuorum, then this will always return false. so you should calculate - minNumRacksPerWriteQuorumForThisEnsemble = Math.min(writeQuorumSize, minNumRacksPerWriteQuorum); and use that value for comparison here","As per our discussion not sure this is the right approach, but doing these changes nevertheless.",1,0
Formatting,Could you remind what is the formatting rule for arguments?,1,1
"Hey @bharatviswa504 , besides the new added properties which can be handled alternatively by adding Ozone prefix, I'd like to seperate the raft log write buffer size with raft log file size. Any specific reason that  these two properties value should use the same value? ","Hey @bharatviswa504 , besides the new added properties which can be handled alternatively by adding Ozone prefix, I'd like to seperate the raft log write buffer size with raft log file size. Any specific reason that  these two properties value should use the same value? ",1,1
"Presumably this code can now be dropped?
",Done,1,1
This needs to be deleted before getting merged!,This needs to be deleted before getting merged!,0,0
transaction_id has unified to txn_id.,ok.,0,0
It's better to add this information to the PR description.,"Ok, This behavior remains consistent with the java implementation.",0,0
"probably useful to log the first and last offset of the batch.
","logging ""this"" will call the overridden toString() method for this class, which prints the first and last offset.
",0,0
why not return here?,Because later in this method there is checkAccess for the zone as well. It might be possible that offering is not specified for the passed zone.,1,1
This is unrelated and should be changed in a seperate PR,"rebase does not fix it ... however, I will re-fix/remove it again ...",0,0
"Default is `""5m""`. The list of possible values (like '1m', '1d') should be added.","no it's not ... if it's not defined the bot will fail to start ... i thought the default was 5m, too - but it's not - that's what's in all config samples - so it's not a default value.",0,0
Wrong reference,clickhouse driver uses previous version of slf4j if I don't include it I will get an exception. That the reason why I included in plugin's lib. About snowflake references that wil be fixed,1,1
"AfterSuite is done after all test classes have been executed. So if you attach the class name, it won't be very informative, IMHO. What's the usage of this log?",Removed.,0,1
"""Subset the data to exclude the groupings and silence this warning."" -> ""Subset the data to silence this warning.""?","What's the benefit of removing the phrase ""to exclude the groupings""?",1,1
This will overwrite the option set in configuration.yaml.,OK. Handling this properly now.,0,1
Please use more meaningful error log.,already deleted,0,0
"@sosukesuzuki 

Is this secondParse still need with attrs info? I'm okay with this, just double checking with you.

If it's still needed, I think we can optimalize this a little bit, because it's not alway needed, so we can do the second parse when it's needed. Something like 

```js

const getSecondFormat = () => secondResult ? secondResult : (secondResult = doSecondFormat())

if (isUnclosedNode) {
  rootNodes[i] = getSecondFormat().rootNodes
  // ...
} else if (node.name === ""template"" || node.name === ""html"") {
  // handle getSecondFormat().errors
}
```

Or early return before doing second format.

Better?","What means ""second format""? is not ""second parse""?",1,1
maybe BaseStreamlet?,Which one are you referring to? Streamlet or StreamletImpl?,1,1
"I honestly don't like these methods.  In a sense it hides a builder, -- it's as if we don't actually like builders and instead we like many overloaded methods that takes all sorts of parameters that are hard to decipher at the call site.  Yuck!  We should should want to embrace builders!",I could get behind eliminating these....    It makes SolrTestCaseJ4 super long and busy.....,1,1
"I think you should put this request to `TLoadTxnCommitRequest` as an optional field. Then you needn't define a new RPC interface. In addition, if you add new type of RLTask, you just add new option field.","For me, all of type of RLTask will commit task by `This method`.  The new option field is in `TRLTaskCommitRequest` not in `TLoadTxnCommitRequest`. Txn just is  a property in RLTask instead of RLTask is a property in Txn.  ",1,0
same as above,same as above,0,0
This would be executed on developer machines as well. Is it necessary to trigger the push here? Currently we have a separate `docker-compose push` call in the Jenkins pipeline,"Good point. Right now, it will fail with just a warning and continue on, but maybe we should only attempt pushing the image if an environment variable (such as DOCKER_ECR_REGISTRY) is set.",0,1
Why does this file variable need to be declared here when it's only used within the if (maxBackupIndex > 0),moving declaration.,0,1
"There should be a comment explaining why it's not computeIfAbsent(), e. g. referencing back to this PR.","done, added a comment",1,1
What about `fullData` name?,It's ready for review; however I don't see the refresh button next to your name (as in https://help.github.com/en/articles/requesting-a-pull-request-review) in the reviewers section. I only see the red +/- icon there.,1,1
"Can you pass along the original exception as well? `throw new IllegalArgumentException(errorMessage, e)`",Done!,0,1
Same here.,Will both 1 op error and 1000 ops error have same message ?,1,0
"This feels like reverting back to behavior advised against before, but I'm not sure the best way to get the Guacamole Home directory into this property to open up the file without doing this.  Suggestions?","This feels like reverting back to behavior advised against before, but I'm not sure the best way to get the Guacamole Home directory into this property to open up the file without doing this.  Suggestions?",1,1
Why the ternary operator here instead of just going with String.valueOf(isMandatory)?,Done!,0,1
"I ran `ant -Dcluster.config=full verify-libs-and-licenses` and the check complains here:
```
php.editor/external/predefined_vars-license.txt does not contain the version 1.0 in its name
php.editor/external/predefined_vars.zip does not appear to include a version number
```

So please rename `predefined_vars-license.txt` to `predefined_vars-1.0-license.txt` and `predefined_vars.zip` to `predefined_vars-1.0.zip`. Please also update project.properties to `release.external/predefined_vars-1.0.zip=docs/predefined_vars.zip, that way at runtime the file is still at the same place with the same name.","Can we remove ""Version""? or Do we have to add it?",1,0
`FlowControlFrame` should not be known by `Call` class,change to object,0,1
"It's better to throw two `getBucketNum` when error happened, which is useful for user.",OK,0,0
No reason to not change connectAttempts= to attempt= in message,Done,0,0
any tests for `get`?,don't have get end point yet. This story is for list only,1,1
"remove this line, not needed",done.,0,1
what is Root not exist?  StorageGroup not exist?,Renamed,1,1
"[-1] v1 REPLACENODE supports the ""async"" parameter, so we should probably add that to the RequestBody as well.

(`CollectionsHandler.submitCollectionApiCommand`, which you use above, already has logic built around the parameter, so all we should have to do is add it to the RequestBody here, and then make sure it gets added to the message in `createRemoteMessage` above.)",Done,0,0
Do we need to trim whitespace elsewhere in the above header checks too?,they do trimming were necessary.,0,1
FFT: Guava preconditions might improve readability here.,Done,0,0
"Please mark this as `(optional)`, compare e.g. with the `canvasFactory` just above. Also, the `The default value is 'rgb(255,255,255)'` sentence is missing a period at the end.

Finally, when all review comments have been addressed, please squash the commits into one; see https://github.com/mozilla/pdf.js/wiki/Squashing-Commits.

",done,0,0
`TableWriteImpl<?>` -> `TableWriteImpl<RowData>`? There are also similar issues in `ChangelogValueCountFileStoreTable` and `ChangelogWithKeyFileStoreTable`.,OK,0,1
"```suggestion
    """"""Create twinkly entry in Home Assistant.""""""
```",How did I miss that.  Thanks again.,0,0
"`hashCode = Objects.hash(h1, h2);`",fixed,0,0
I think in the past we will return false instead of throwing the exception out?,"Em, let me check whether it will impact the behavior ..",1,1
"Presumably this code can now be dropped?
",Done,1,1
"I think rowsets_to_add and rowsets_to_delete  is better name
","Name is long may be not better, because line may be long. ",1,1
"Are we sure this directory will be empty? If not, I suggest doing the following instead:

```
Runtime.getRuntime()
    .addShutdownHook(
        new Thread(
            () -> {
              try (Stream<Path> walk = Files.walk(configDirectory)) {
                walk.sorted(Comparator.reverseOrder())
                    .map(Path::toFile)
                    .forEach(File::delete);
              } catch (IOException e) {
                logger.error(""Could not walk "" + configDirectory, e);
              }
            }));
```","I'm pretty sure the directory will be empty. It seems that when the tests finish, they execute a `ccm remove` that cleans up everything in the directory, just not the directory itself. I did try to setup a shutdown hook to clean up the directory, but it seems to cause issues where the ccm process hangs at the completion of the test.",0,1
can it just be checked if the spliterator is `SIZED` and pick a specific element if so?,"Also, since my last comment, I've run benchmarks using different sizes for the spliterator threshold and observed a [pretty uniform selection of segments](https://gist.github.com/shivtools/7e8af2038e155e2cd8131a10f53035a5) using this approach. ",1,1
"@pratyakshsharma : Instead of renaming fields, add an alias ?

http://bigdatafindings.blogspot.com/2016/05/schema-evolution-with-avro.html","@bvaradar We are basically adding a new field in TestHoodieCommitMetadata class and then testing compatibility. However in this PR, I am not sure of how an avro record with field ""baseFilePath"" will be converted to a POJO with field dataFilePath while deserializing. I have removed the alias for now. If you can guide me here, that would be useful. ",1,1
"Do we maybe want to catch exception here to make sure change of owner still happens even if `setPermission` failed?
","Fixed.
",0,1
"Could you buff out this comment with an explanation as to why we need to hold onto `RegionSize`s for tables in violation with a disable policy _or_ include a reference to HBASE-22012, please?",done,0,1
"Does relocation message contains coordinate of reallocated artifact from source to destination gav?

If no we lost useful information like:
```
The artifact xxx  has been relocated to yyy
```",How about we show the original message and append the contents of `<message>`  if it exists?,1,1
Also check that `!previousState.isDone()`?,done,1,1
"This should be `if(counter == numberToCombine || !checkRangeAdjacency(previousSourceRanges, source.getRanges())) {` with an else of the if statement above.
",will do,1,1
Shouldn't it be `starting from the target type and then the input type` ?,"I think that's an implementation detail of this class, what matters to the user is that I give him a rule that matches the input and target types. I prefer to keep it this way since it's more descriptive IMHO ",0,1
"Do we still need interface here?
Can we replace it with a single implementation?","No, we can't because of this interface has two implementations.",1,1
maybe we could have a property such `<surefire.plugin.version.runtime>` or another name to avoid such level of duplication?,Pleas look at https://issues.apache.org/jira/browse/MRELEASE-799,0,1
"nit: Since we are not only identifying but also returning the unhealthy nodes to re-queue, shall we update this method name to `identifyAndGetUnhealthyNodesToRequeue` or `getUnhealthyNodesToRequeue` ?","modified to ""getUnhealthyNodesToRequeue""",0,1
Check for unused imports,will do,0,0
What about Tensorflow?,"The tensorflow seed has to be set inside the session context, so it cannot be done here, but has to be done further down inside the `[ES|ARS]TFPolicies`.",1,1
Break this off into a new unit test. It's got nothing to do with testing create modes.,Done,0,1
These two projects have the exact same name aside for `v1_13_1` vs `1_31_1`. This seems like a recipe for confusion. Is there any better identifier that could be used to differentiate them?,v1_13_1 is the one currently being used for vendoring gRPC for use in the project till the 1_13_1 is published and then v1_13_1 will be deleted. This is reason why I mentioned I could get it submitted but its a little bit of a hassle.,0,1
DistributionImpl is part of geode-core. Should it be using AbstractGMSMessage (not part of the geode-membership API).,I'll revert that change.  I didn't realize that DistributionImpl was outside of membership,0,1
"One design decision here is whether you should be getting the action of multiple agents at once (as opposed to one at a time).

I think it may be easier to enforce all the observations of all agents acting for the ""episode step"" must be provided at once in this call. Otherwise, it becomes unclear which agent actions go in which episode timestep.","While I think it would be easier to enforce an observation of all agents in one call to ``get_action(...)``, this would not allow the same ""level"" of asynchronism as offered with ``MultiAgentEnv``, right?",1,1
"The `_gif` case should handle channels somehow.
","For `_gif`: Should I use `tf.image.rgb_to_grayscale` and `tf.image.grayscale_to_rgb`, and limit `channels` to 0, 1, or 3 (exclude alpha channels for PNG)?
",1,1
Please specify exception that you expect to catch.,"I just specified it. Testing showed that the type was OSError, but it seems weird to me. Is this an exception type that normally appears?",1,1
Maybe we need to add `ttlConfig.isEnabled()` here?,"Oh... you are right, I forgot.",0,1
Wouldn't it be better if we try to seek to the particular key? Instead of just checking the range of the sst file.,"Yes that's a good idea, updated with this change.",1,1
"According to the order, the users can override the built-in labels by customization. I think the built-in labels should prioritize the user-specified ones. WDYT?",I think you are right. I will prioritize the built-in labels.,0,1
Make these fields either `public final` or `private  with getters`.,Made it final.,0,1
"Presumably this code can now be dropped?
",Done,0,1
"@htuch this new message replaces a deprecated field (`use_tcp_for_dns_lookups`). However, it also modifies the field type from `bool` to `google.protobuf.BoolValue`.
I'm assuming it is ok, as the other field is deprecated, just want your opinion on this.",Thanks for the suggestions. Not using BoolValue.,0,1
The method name and the return type do not match. Moreover could you please explain the use of this method.,This method is just used for getting ports that are not required thus I don't throw an exception if I don't find the port in the map unlike getRequired,1,1
I think indentation got changed to 2 spaces here,Remove spaces are necessary for the python file to work. @olehborysevych   knows about the GCP error,0,0
"it makes no sense to check nullity of locations1 using hdfs. The code doesn't change the file, so why check it?","it makes no sense to check nullity of locations1 using hdfs. The code doesn't change the file, so why check it?",1,1
"This is not safe.

Although ""tier = preferred"" is the current config for production jobs,  I would expect that ""production: true"" is still being used in many other companies.

Also tier is customizable, so I think there is no safe way to check isProd().","if we cannot know if topo is prod anyway, shall we use cluster/role/`env` to judge isProd() as maosong suggested previously. so that the code will be simple and stupid .. what do you think @maosongfu  @nwangtw ",1,1
"Maybe this would be nicer as `def ROW(fields: (String, TypeInformation[_])*)` so that one could write:
```scala
val rowType = ROW( (""name"", STRING), (""favorite_color"", STRING), (""favorite_number"", DOUBLE))
```",Done,0,1
rename -> vectorName,rename -> vectorName,0,0
"This comment isn't all that helpful :) Could you maybe change it to explain what the tuple being returned is (the two Nones are `labels` and `level_index`) and maybe note that the MultiIndex version is what's useful.
","Yeah, good call :-)
",0,1
Why do you make this class mutable? It was designed to be immutable. I think there is good value in leaving this class immutable.,"Each time we add a `ResourceProfile` to it, all the `ResourceProfile`s recorded will be put into a new map, with O(nlogn) complexity. For coarse-grained resource management, that's might be ok since we only have one type of requirement and one type of slot(for standalone mode, that assumption might also be broken). However, for fine-grained resource management, performance can get bad.",0,1
Please put license header here as well,Done,0,0
"suggestion: `/*jshint unused:false*/ next`
","Sorry, what do you mean here ?
",1,0
change to `# Install libgomp1 for MXNET`,done,0,0
"For the *session* count, we still use `status=init` as the total count, so it makes sense to keep the session status filter.","For the *session* count, we still use `status=init` as the total count, so it makes sense to keep the session status filter.",0,0
why `com.twitter` also shaded to `org.apache.storm`,"What if user accesses some APIs in `com.twitter.heron.xxx`? Is it OK? If we shade, user will see something like `org.apache.storm.shaded.do.not.use.com.twitter.heron.xxx`, and he will not use it either intentionally or accidentally for sure.",1,1
needed?,"I can safely remove all of the import statements, but for some reason, I can't get rid of the package specifier without causing a lot of errors when trying to compile original_dst_fuzz_test_proto_cc_proto.",1,1
`Regions` does not sound a very good name to me...  Too vague.  What about something like `RegionInstallationSupport` ? Another thought ?,I was also unsure. Not sure if RegionInstallationSupport is better but if you prefer it that is fine for me.,1,1
"redundant braces
````
boolean isMainWork = mainWorkName.isEmpty() || inputName.compareTo(mainWorkName) == 0;
````",removed the parentheses,0,0
still needed since done in serializer?,still need in query,1,1
"there should not be a distinction between SEPARATED and INLINE

I suggest to use:
`key = ((KeyValue) record.getValue().getNativeObject()).getKey();`","Yes, fixed",0,0
"We will not get the complete stacktrace by creating `SamzaException` from throwable object.

Resultant `SamzaException` will contain the head of exception message. We can do either of the following:

1. Just bubble up the throwable: `throw status.getThrowable()`.
2. Use `ExceptionUtils`(from `apache-commons`) to get complete stacktrace from the throwable: `throw new SamzaException(ExceptionUtils.getStackTrace(t))`",Used ExceptionUtils from apache-commons to get the stack trace!,0,0
why is this prefereable to hanlding on L1281 with the other dtypes?,"the more i work on it, the more i want to nuke NA from space",1,1
"```suggestion
The client JAR can be found in `fineract-client/build/libs`.
```",Done,0,0
can we create temp directory `BeforeMethod` and delete the temp directory `AfterMethod`? otherwise the tests will become flaky tests when running in a shared CI environment.,Fixed,0,1
What refactoring of XsltComponent do you need? You should be able exclude/change options on annotation level and methods can be overriden.,obsolete.,0,1
"https://github.com/google/boringssl/blob/master/include/openssl/bio.h#L384

There is a warning in BoringSSL document not use this function, use `BIO_mem_contents` instead.",Done.,0,0
Why change the dashboard config?,i don't know.It delete it and add it but in fact nothing has changed. should i force push it?,1,1
Same here: I don't believe the inner `float()` conversion is necessary.,I guess you are correct. Will change it and let us see what the testing says.,0,1
Note that you can solve this problem by having the DoFn catch the exception from within the processElement method outputting `success` or `exception stack trace/message` messages and performing a PAssert on the output PCollection.,"That's a neat idea. though it still can't make any extra validations on the error message thrown from the system though and would be limited to the same check. I guess we could check more specifically where it failed, but not sure of the overall value there. Though if left as is it keeps the error checking in the test code instead of the DoFn which I like. So I'll probably leave it as is unless you have a strong opinion.",1,0
Please cleanup,done,0,0
are the import orders correct? looks like should be org.* then java.*,FIxed,0,1
"Can this be made plural?
```suggestion
#callbacks_enabled = timer, mail
```","I would normalize all of them, if we have any existing deviations we can add new one and deprecate existing",0,0
"<!--new_thread; commit:a05ebd729a88b55bbf37a2e0c501299a923aab08; resolved:0-->
Please fix capitalization.

Can you please add a TODO indicating that once `TriggerFn.should_fire` receives watermark domains, to 

(context for Robert: this has to be False for now since `should_fire` currently only receives watermark time domain timestamps)","I see, so you mean to have the same TODO in both places. Done!",0,0
@aljoscha and @pnowojski What do you think about this change?,@aljoscha and @pnowojski What do you think about this change?,1,1
Does this comment need to change to `Load the latest fileID belongs to this task`?,"Not really, added comments on when we cannot load the latest fileId (latest fileID = committed fileId)",0,1
should `op` just store a HoodieFileGroupId instead?,Fixed.,0,1
This is a breaking change. The class needs to be propagated for proper factories instanciation.,This is a breaking change. The class needs to be propagated for proper factories instanciation.,0,0
nit: seems we no longer need the field `useLz4HC` with this.,"Oh, yes.",0,1
wrap line,done,1,1
"Does the robot know which room of the house its in?

If so add `suggested_area`",It does not,1,1
"do you know why this `key` is required? If we don't need it, might as well get rid of it.",Removed the key,0,1
"This will list all functions, sinks, and sources in the namespace.  For this endpoint to make sense I think we should only return sinks in this namesapce",ok,1,1
can use ``self._null_fill_value``.,Done.,0,0
Copyright is copyright. Please don't combine it with other comments.,Fixed.,0,0
"Let's maybe convert above notation so we directly create `sqsTemplateObject` (creating JSON string, is some old controversial convention used sometimes in a Framework, and in general we're not practising it new code).

Having that configuration would be  simply as;

```javascript
const sqsTemplate = {
  Type: 'AWS::Lambda::EventSourceMapping',
  ...
  Properties: {
    BatchSize,
    ...
  }
}
```

Having that we can include `MaximumBatchingWindowInSeconds` in above construct with a form:

```javascript
  MaximumBatchingWindowInSeconds: event.sqs.maximumBatchingWindow != null ? event.sqs.maximumBatchingWindow : undefined
```

1. `!= null`  checks wether value is neither `null` nor `undefined` (it's the values for which we should assume that property is not set)
2. Assigning `undefined` is like omitting property, as `undefined` properties do not get serialized to JSON.",Thank you so much for the help! I've updated it: https://github.com/serverless/serverless/commit/c9da466875da95584c754b991ec1646998f10018,0,0
case hit in tests?,"Updated with test, also fixes the mypy complaint on master",1,1
formatting,Fixed.,0,0
Unrelated to the topic please keep it.,done,0,0
Do we still need this after adding the `addExceptionToNamedList` call?,"Nope, I had forgotten to remove the original code in this instance. I did remove it",0,1
"instead of doing containsKey followed by get, just do get and check for it returning null. This does one map lookup instead of two","I'm not entirely sure what you mean. it's a get followed by a contains, not the other way around",1,0
nit: do we need this?,removed,1,1
"This cleanup() call may be expensive, and ideally it should be outside the lock. However, I think it will be very rare where you hit this scenario and therefore I think the logic is OK as it is now.",OK.,0,1
"These casts can be avoided if you use lambdas here:
```
    vm0.invoke(() -> createServer());
    vm1.invoke(() -> createServer());
    vm2.invoke(() -> createServer());
    vm3.invoke(() -> createServer());
```",Isn't the above the intended approach of Java? It is the optimized form according to intellij,1,0
private is enough?,Fixed,1,1
"It is the class in the package ""org.apache.inlong.manager.dao.entity"".
Please move it.",fixed,0,0
"Not for any IOException, only when the resource isn't found.  Looking at the code, we'll through `SolrResourceNotFoundException`","Lookis I am stuck with IOException, it won't let me specify SolrResourceNotFoundException.",1,1
"I think we'll also need to store a method config table, where the value type of the table is this same type.",done!,0,1
If an I/O exception occurs in the `ParquetFileReader` constructor then you might try to close the previous reader object. I would guess there is no problem with invoking `close` multiple times on the same object but who knows? It might be a good idea to reset the reference so you would not close the same object again. Another idea would be to use try-with-resources for the code part where the reader is really needed.,"@Fokko thanks for your suggestion, can you review it again?",0,1
"[-1] Shouldn't the PathParam annotation value be ""coreName"" instead of ""core""?  I've been thinking the value of these annotations need to match whatever the placeholder is up in the `@Path` annotation (see L50).  If this works as-is, then I've been misunderstanding how these work for a loong time 😮 ",It should be the same name as the one in parenthesis. Will change it!,0,1
"unrelated change to this PR. 
","sorry wrong box to comment
",0,0
The threshold of a file appender is static. Evaluation of a FileAppender threshold should be done only once during iteration over file appenders. Logging in v1 should be enabled only when there is exactly one FileAppender with threshold greater or equal to ERROR.,"I was little skeptical, if I put changes related to finding appenders and threshold in static code block will be be okay? If logger is initialized before that?",1,0
"I suggest using `google.protobuf.UInt32Value` and saying that ""not set"" is once. Otherwise, it's confusing, since we have 0 and 1 meaning 1, and folks might thing you are doing -1 offset.",I beefed up the documentation.,1,1
Code format,fixed,0,0
Is test stream unsupported in these other setups?,"No, I don't think so.",1,1
"Why this change? If this is not related to this PR, please undo it.",Please see the comments above.,0,1
"Is it valid to set a hold time of `datetime.time(0, 0)`?","Rather than setting a temporary hold till the next scheduled time, it will set a temporary hold until tomorrow (midnight).  Not ""expected"", but not a failure.",0,1
Add empty line before if().,fixed,0,1
"If `code_format` is set, in this case the integration should check if `code` is in the service_call?",I believe so and think we should update integrations using `lock` once this PR is merged.,1,1
"This should be a separate commit. It's a hotfix of existing javadoc, which is irrelevant to the problem this PR is trying to solve.",Agree. But given this diff also add one more parameter in the function. I think it is safe to complete all of other missing comments. How do you think/,0,0
preserve commit metadata should be applicable to both async and inline clustering right. I would prefer to test it out w/ inline clustering. already we have had some flakiness around async clustering. so don't wanna stir more.,"Since async creates another thread, i think it's better to test both inline and async clustering in general. Is your concern around test time? I can undo parameterized test for `testAsyncClusteringService` and keep it only for `testAsyncClusteringServiceWithCompaction`.",1,0
Does the comment apply to the line above or to the line below?,Line above.,1,1
You don't need `typeof` here right?,ts doesn't allow me to do that so I use this. seems `TFindDOMNode` is just a alias to the original module. gonna change to `typeof React.findDOMNode` to reduce the confusion here,0,1
"It would also be good to mention two other new contrib modules, `integrate` and `labeled_tensor`. I'm happy to come up with some appropriate language.

Do we have a standard process for maintaining/updating these notes before we issue the release?",Done.,0,1
Please see the notes at the top of this file regarding the ordering of sections and the ordering of elements in each section.,Done.,0,0
"I thought we had ended up calling this `isSelf` because `isLocal` is overloaded in this code (meaning, variably, is this instance (has our broadcast address); is the same DC as this instance; has the 'local' address).  Not strictly related to this patch, but perhaps we should rename to `isSelf` while we're here and remember?  This is consistent with the nomenclature amongst the TR patch, and in `ReplicaCollection` (`withoutSelf` and `selfIfPresent`)",Renamed,0,1
"I think we should rethrow here, since we can't guarantee correctness. Thoughts?","this should be fine. We always generate a new set of topics (appending the run.id so they are different from previous runs). I actually expect clearStreams not supported in many scenarios, where we might rely on retention to get the streams cleared.",0,1
"We can probably do this without autoboxing, but not something to worry about for this change.",fixed,0,1
"hmm, you can't do ``Optional[Dtype]``?","Sorry, I mistyped. We have _typing but not `Dtype` in _typing until #25942 is figured out and merged.",1,1
"Does this change yaml and violate ADR007? I'm working on a config flow and this small change fixes something that broke here #39664 during process of conversion, so I hope this is allowed anyway.","Does this change yaml and violate ADR007? I'm working on a config flow and this small change fixes something that broke here #39664 during process of conversion, so I hope this is allowed anyway.",1,1
can use ``self._null_fill_value``.,Done.,0,0
"Wind speed should be reported in km/h until we've decided otherwise in an architecture discussion.

https://developers.home-assistant.io/docs/core/entity/weather#properties",I set this PR as draft for the time being until ADR discussion is then resolved,0,0
"Why `primaryKeyList` and `uniqueKeysList` are still nullable? 
I think we have a consensus they are empty if primary key or unique key is not set. ",Thanks. Can we resolve this now :) ?,0,1
Why do we need to wait here?,"The original script had a minute between the two actions, but since it was defined as an interval they drifted. I retained the time difference while preventing them from drifting. I'm guessing the reason for the wait was to give MQTT time to receive messages after subscribing. But I'm not certain for sure.",1,1
"Presumably this code can now be dropped?
",Done,0,1
"let's make these `transient` and lazily init this as needed. 

```
private void initIfNeeded() {
  if (inputFormatter != null) {
   this.inputFormatter = parser.getInputFormatter();
   this.partitionFormatter = DateTimeFormat.forPattern(outputDateFormat);
  }
}
```
","I did not get this check, if (inputFormatter != null) then why are we re-initialising? Ok, you mean to say the variable will be marked transient and will still get initialised in constructor? `initIfNeeded()` gets called from `getPartitionPath()` then? Please help me understand. @vinothchandar ",1,0
Manager?,"`Manager` is currently only a typing union, so can't be used for isinstance",1,1
"I think that we are not handling concurrent access on ""leaderElectionService""
in ""start"" we re-assign the value to the variable.
I would make it final or properly handle concurrent access","About the concurrent access to the member variables, still 'tableview' and 'producer' are not final.

Could you explain why we need the synchronized access to the 'leaderElectionService' instance? 
(Don't we also need to worry about the synchronized access to tableview and producer?)

As long as it's non-null, shouldn't it be ok whether the return(leader) is from the old or new instance of 'leaderElectionService'?",1,1
"```suggestion
The client JAR can be found in `fineract-client/build/libs`.
```",Done,0,0
is there an implementation reason we don't fill in the tables for RSGroupInfo in this case?,"The old implementation is a bit broken, as we can set rsgroup for a namespace, and you can never get this information from the RSGroupInfo. In the new implementation there are two Admin methods for getting the information.",1,1
"how about cp $PACKAGING_DIR/../target/bin/apache-ignite-fabric-2.5.0-bin.zip . ?
Otherwise,
% cat apache-ignite-fabric-2.5.0-bin.zip                                                                                                                 14:41
<!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
<html><head>
<title>404 Not Found</title>
",Fixed,1,1
去掉 `[default = 0]`， 否则，c++代码中 `config.has_output_y()` 永远都不会生效，下同。,done,0,0
generic type? I don't like warnings but it's not big deal,done,1,1
"Why no value? If it does not have a default value, can you add an explanation? Something like `it does not have a default value`?","Docs for standalone is written manually, and I'm not sure about the reason why there's no default value when it should have.",1,1
"This seems unrelated to the rest of the PR. Although the original does look wrong, was this connected to a bug you noticed?","I could do that, but is that really necessary for this tiny change since it is a bug that prevented the v-sync setting to work properly on Windows?",1,1
"We could run teardown at the end of the test and ensure that no additional output has been added, ditto for the ones below.","Sorry, I don't think I fully understand what you mean. Can you explain it more? :)",1,0
"`return i;`
It needs to add in the cur pos and move all newer files backward.","As I have explained in the javadoc that the file will be inserted between [i, i +1], I think it does not really matter.",1,0
"why do we need this? The currently processed input should be updated via the returned `InputStatus`, no need to check it. If the other input is unavailable, and both will become unavailable, we would do the full check via waiting on availability future and we update the inputs (via cheap `isAproximatelyAvailable()`) once future is completed.",The commit is unnecessary. I did not fully understand the availability handling.,1,1
Looking at the definition it feels that implementation details are exposed.,"When we work on authenticators, that parameter should go away. The name could be better, but I can't think of a better one right now. Can you? Would `ClientProtocolConnection` be better?",1,1
"It is assumed initially, that we print corresponding remote node `consistentId` here.
I suggest this format for per-node message (for single remote node):
`
reqId, nodeId, consistentId, map=[[cacheId=id1, cacheName=cache1, parts=[m1,..,n1]], [cacheId=id2, cacheName=cache2, parts=[m2,..,n2]]
`","thank you, I have changed the output by updating consistentId. Adding cacheName, groupName is tricky as we discussed it with you last week. Is it strongly necessary?",1,0
"I think that it should be using `outboundChannel.remoteAddress()` instead of `.localAddress()`. 
```suggestion
                InetSocketAddress proxyAddress = (InetSocketAddress) outboundChannel.remoteAddress();
```",Should we also change the `instanceof` check in the conditional just above this code? I don't know anything about this code other than the fact that the names imply that the `inboundChannel.remoteAddress` should not be called twice and assigned to different variables.,1,0
Is there a reason you went with a new base class instead of implementing these additional functions in `TestCase`?,"well, I've done this",0,1
update in docs that fail_msg is 'new in 2.7',@bcoca version info added,0,0
This should probably be done in constructor to some `private final int logWarnStringSIzeThreshold` field.,Done,0,1
*style*. Please use new lines.,done,0,0
Can we delete this line? It is not related.,yes,0,1
No sure it is used/useful,Yes. True,1,1
How does clearing environments from the builder help ?,Had offline discussion so resolve the comment.,1,1
Wasn't this done as part of CASSANDRA-17004? https://github.com/apache/cassandra/pull/1311/files,Yes..,0,1
"```suggestion
    EXTERNAL(""EXTERNAL_TABLE"", ""The table where Table Store has loose coupling with the data stored in external locations."");
```",updated @SteNicholas,0,0
