project,pull,author,reviewer,CCR,Prediction,Merge
shardingsphere,5590,neil4dong,tristaZero,Please remove this redundant blank line.,0,False
flink,15524,xintongsong,wangyang0918,"You do not have to change, but maybe the new introduced `TestingResourceManagerFactory` could subsume `ClusterEntrypointTest#TestingResourceManagerFactory`.",1,True
flink,14003,haseeb1431,sjwiesman,"```suggestion
```

For a getting started guide, let's not focus on what Flink can't do :) ",1,True
netbeans,2277,Akshay-Gupta-19,lahodaj,"Nit: unnecessary change:
```suggestion

```",0,True
cassandra-java-driver,831,adutra,tolbertam,"small nit: bmunit depends on byteman-install, submit and version so you should only need to list the byteman-bmunit dependency,",1,False
shardingsphere,28953,azexcy,sandynz,"It's better to extract retryTimes and sleepTime as fields, so users could customize them",0,True
nifi,4714,simonbence,markap14,Again with try to avoid sticking to the typical convention of splunk.response.code,1,False
solr,708,heythm,janhoy,Should instead just get the zkHost string,1,False
nifi,6443,malthe,nandorsoma,"The same feature is implemented in the ADSL processors. If possible, please use the same Strategy names that already exist there.",0,True
samza,634,Sanil15,prateekm,InMemorySystemDescriptor?,1,True
inlong,1705,baomingyu,aloyszhang,ditto,0,False
sqoop,80,dionusos,ebogi,"Instead of ORC, I'd mention non-transactional tables, since that's stopping you from creating HCat table without this patch.",0,True
poi,46,hishidama,onealj,"Is this test considered failing if an IllegalArgumentException is ever raised by validateSheetName here?
If so:

    } catch (IllegalArgumentException e) {
        fail(""Expected sheet validation to pass, but it failed with a sheet name of "" + name);
    }

Or is this more the case of ""assuming that name is a valid sheet name, verify that Sheet 0's name can be set to name, and a cell formula can be set and evaluated""?

A unit test should clearly define what should pass and what should fail. If setSheetName, setCellFormula, and evaluate call WorkbookUtil.validateSheetName, then this unit test is a tautology. It will always pass and therefore should be pruned from the unit test suite to eliminated wasted test time.",1,True
inlong,5595,rhizoma-atractylodis,baomingyu,"plz make ""random""、“consistency hash” ... as constants in constants class",0,True
flink,7440,dawidwys,pnowojski,"I think changes in this class should also be covered by a smaller unit test asserting the plan, not only by the `ITCase`.",1,True
geode,7417,jdeppe-pivotal,DonalEvans,"We also need a check that the timeout isn't negative. If it is, Redis returns `ERR timeout is negative`.",0,True
iotdb,3447,THUMarkLau,qiaojialin,"```suggestion
  public static int getInnerCompactionCount(String fileName) throws IOException {
```",0,True
iotdb,5510,SpriCoder,JackieTien97,"```suggestion
  public SetStorageGroupTask(SetStorageGroupStatement statement) {
```",0,True
kafka,9196,nizhikov,ivandasch,"Same as above + tuple can be constructed from generator, no need to create list for that 
Just use `tuple(raw_metric['tags'].items())`",0,False
flink,22506,pgaref,zhuzhurk,"I feel that it may make to harder to understand by making this change. If we want to make this change, it's better to factor the `Factory` out of `FailoverStrategy` and rename it to `FailoverStrategyFactory`.
However, that may break current custom implementations of `FailoverStrategy.Factory`. Although it is not a public interface of Flink, I prefer to keep it as is if the change does not bring much benefits. ",1,False
kafka,1788,kkonstantine,hachikuji,"nitpick: looks like we could initialize this on the same line.
",1,True
gobblin,2803,vikrambohra,autumnust,What's the purpose for this catch block if everything it does is to rethrow?,1,True
shardingsphere-elasticjob,1620,ZHZstruggle,TeslaCN,"The IP is not very easy to understand.
```suggestion
    private static final String HOST = ""smtp.xxx.com"";
```",1,False
shardingsphere,14676,ReyYang,sandynz,"It's better to verify `Collection<Object>`'s size, in case of they're different.",1,True
flink,9703,liupc,klion26,"```suggestion
FLINK_JVM_HEAPDUMP_OPTS=$(getHeapdumpOpts $FLINK_HEAPDUMP_NAME ${log})
```",0,False
hudi,328,n3nash,vinothchandar,MetaClient/TableFileSystemView route will give you the file statuses directly..,0,True
bookkeeper,350,sijie,merlimat,typo: currenlty,0,False
shardingsphere,11060,soulasuna,TeslaCN,"Please remove the blank line.
Consider rolling back this file.",0,True
hive,3444,atsaonerk,cmunkey,"Should also test where there are less threads than tables and partitions.
Especially the cases where the number of threads is less than the number of tables and number of partitions.
For instance 10 threads, 20 tables, 4th and 5th tables have > 10 partitions.",1,True
iotdb,7474,Wei-hao-Li,CRZbulabula,Better add them in the tail of ConfigPhysicalPlanType,0,False
flink,11515,rkhachatryan,zhijiangW,nit: unrelated change for this commit motivation,0,True
beam,23402,olehborysevych,alexeyinkin,No need for the Dart line here because this merge is pending: https://github.com/apache/beam/pull/23378/files#diff-c0dfa6bc7a8685217f70a860145fbdf416d449eaff052fa28352c5cec1a98c06,0,True
druid,3979,praveev,leventov,"This method need not to be static, it should be an instance method of `GranularityType`",1,True
geode,5855,onichols-pivotal,nabarunnag,"```suggestion
geode-core/**/org/apache/geode/internal/jta/**                    @pivotal-eshu @gesterzhou @luissson
```",0,True
fineract,2667,ruchiD,galovics,"Can you please `MappingConstants.ComponentModel.SPRING` instead of the magic ""spring"" literal?
Also, use `unmappedTargetPolicy = ReportingPolicy.ERROR` so the build fails if something is not mapped properly.

Btw you could also create a very generic AbstractMapper in Fineract that holds these configurations. An example what I did is for the Avro mappings (AvroMapperConfig.java and for example look at ClientDataMapper.java how to use it)",1,True
iotdb,466,SilverNarcissus,jt2594838,"```
outputStream.write(bytes);
byteLen += bytes.length;
```
 should be enough, there is no need to wrap with a ByteBuffer.",1,True
solr,23,NazerkeBS,dsmiley,"I think `ZkMaintenanceUtils.UPLOAD_FILENAME_EXCLUDE_PATTERN` -- the constant there should have a name with ""CONFIGS"" in there, perhaps at the front.  It used to be on ZkConfigManager which implies a context of configs but this isn't so for ZkMaintenanceUtils.   On the other hand, wow that'd be an even longer name.  At least add a comment on it.",0,False
shardingsphere,21019,azexcy,sandynz,Could we change it to `getProcessedRecordsCount`?,1,True
maven,1208,CrazyHZM,elharo,does this need to be public?,1,False
beam,17462,AnandInguva,tvalentyn,Examples serve as one of the learning materials for users. Could you add a short intro about what this example demonstrates?,1,True
flink,14238,rmetzger,XComp,Not sure what it the value would be but could we add information about the value set by Flink here as well?,1,False
iotdb,1464,mychaow,jt2594838,Why are these commented?,1,False
beam,3250,mingmxu,lukecwik,"You should use `Create.of(row).withCoder(new BeamSqlRowCoder(type))`, it removes the need to call `inputTable.setCoder()`. This allows Create to encode/decode the records using the supplied coder instead of using Java serialization.",0,True
calcite,3145,mihaibudiu,zabetak,Should this rather be a `testImplementation` dependency?,1,False
druid,14760,clintropolis,writer-jill,"```suggestion
| `values` | A JSON array of string values to search. | Yes |
```",0,True
incubator-kie-optaplanner,429,Fonifan,rsynek,Could you please import KIE style for IntelliJ Idea and reformat the imports?,1,False
rocketmq,4798,mxsm,tsunghanjacktsai,"> The broker name of the replicas want to operate

to:

> The broker name of the replicas that require to be manipulated",1,True
flink,8242,zhijiangW,tillrohrmann,Can't we create a `ConnectionID` here?,1,False
iotdb,38,SolomonAnn,liuruiyiyang,"Long.toString is enough. 
+"""" is redundant.",0,False
mina-sshd,43,lifangning,lgoldstein,"Perhaps in order to avoid race conditions the following is better:
```java
Long sessionId = session.getId();
sessions.put(sessionId, session);
if (session.isClosing()) {
    try {
        handler.sessionClose(session);
    } finally {
        sessions.remove(sessionId);
    }
} else {
    session.startReading();
}
````",0,True
nifi,5288,markap14,gresockj,Minor nit: shall we call this attributes to match the method name?,1,True
geode,7278,BalaKaza,DonalEvans,"This comment also needs updating, as the parent class of this is not a `Object2ObjectOpenHashMap`.",0,False
beam,9520,mwalenia,lgajowy,"Yay, nice! :D",0,True
flink,9093,danny0405,KurtYoung,This is not a flink-table-runtime-blink dependency,1,False
beam,15900,AnandInguva,tvalentyn,"We do not keep commented-out code - we can just remove this.
If we ever need this code again, we can look it up in revision history. ",0,True
nifi,6584,dam4rus,Lehel44,Would you please make the class final and add a private constructor to it?,1,False
solr,1115,joshgog,gerlowskija,"[0] Prior to this PR, if the user didn't explicitly specify a waitForFinalState value, the created ""message"" wouldn't contain that key at all.

The use of `getBool(key, defaultVal)` here means that the constructed RNRB will _always_ have a waitForFinalState value that gets added to the ""message"" that the v2 code builds.  This isn't a problem necessarily; the docs say that this parameter defaults to ""false"" - so this shouldn't change any behavior.  But it is something to keep an eye on if test failures crop up later.

If you wanted to be more conservative though, you could drop the default-val here to keep closer in line with the existing behavior.",0,True
samza,374,srinipunuru,nickpan47,I would recommend to merge this with Samza SQL User Guide. Or linked from samza-sql.html,0,False
drill,2714,cgivre,jnturton,"We're buffering query data into heap memory here, something we don't want to do, but I've just created DRILL-8367 so that we work through all of the places where this is done in a separate exercise.",0,False
incubator-kie-optaplanner,536,JimTyrrell,ge0ffrey,"Does this compile? It says ""|| &&""",1,True
netbeans,2488,Akshay-Gupta-19,lahodaj,The same comment about  a name as for `ClassWithPerms`.,0,True
beam,16051,y1chi,lukecwik,"""But was not thrown or Exception did not match"" ???",1,True
netbeans,1247,jlahoda,junichi11,"Is `// NOI18N` missing?
Should introduce the constant somewhere? But I could be wrong.",1,False
iotdb,2813,Sunny-Island,SteveYurongSu,Please put the link of the example on the document :D,0,False
nifi,6670,Lehel44,tpalfy,"```suggestion
        List<RecordField> recordFields = new ArrayList<>(originalSchema.getFields());
        recordFields.add(new RecordField(""attributes"", RecordFieldType.RECORD.getRecordDataType(
                ATTRIBUTES_RECORD_SCHEMA
        )));
        
        extendedSchema = new SimpleRecordSchema(recordFields);
```",0,True
netbeans,2756,BradWalker,sdedic,"Here you probably want to increment `specification-version` (see `project.properties`). You're changing `friend-public` API in a binary-incompatible way (but that should not matter as all friends are recompiled in the tree - right @JaroslavTulach  ?)
",0,False
dubbo,12492,suncairong163,CrazyHZM,"Each method should go back to where it was originally used and static classes are not a very good approach.
For example, executeRequestFilters and executeResponseFilters should revert to NettyHttpHandler, and restRequestFilters should be fetched from the FrameworkModel in the context. Such as the url FrameworkModel.
",1,False
gobblin,2744,linweihs,sv2000,Assert.assertTrue() -> Preconditions.checkArgument().,0,True
flink,18460,paul8263,Myasuka,"```suggestion
使用 KeySelector 函数显然是更好的。以几乎可以忽略的额外开销为代价，结合 Java Lambda 表达式，我们可以更方便得使用KeySelector。
```",0,False
iotdb,7531,MiniSho,SpriCoder,Please Avoid Magic Number in Code. You use static final param.,0,False
flink,8117,piyushnarang,tillrohrmann,Maybe we could place `util` under `fs` and then relocate `o.a.f.runtime.fs`. This would save us the second relocation pattern.,1,True
flink,11845,alpinegizmo,NicoK,"```suggestion
* A `KeyedProcessFunction` is a kind of `RichFunction`. Being a `RichFunction`, it has access to the `open`
  and `getRuntimeContext` methods needed for working with managed keyed state.
```",0,False
pulsar,1059,zhaijack,ivankelly,rename globalZk to configStoreZk or something.,1,False
phoenix,236,rahulsIOT,joshelser,"Please include the connection state. ZK has a complicated graph of connectivity states (many of which are recoverable). To debug this, we would want to know what state we moved into.",0,True
flink,9450,lirui-apache,twalthr,"We don't need this if/else branch, `objectToString` can be the `else` part.",1,True
flink,22590,Zakelly,curcur,packFileSystemInfo => createSnapshotFileSystem,0,True
pinot,1996,npawar,kishoreg,It would be nice to have a class TimeSpecFormat that takes in the format and provides all these getters.,0,True
incubator-hugegraph,456,Linary,javeme,Set<HugeKeys>,0,True
beam,6786,ajamato,lukecwik,I don't know how much value there is to make this a public class. Lets hide it as an implementation detail (static class) within BeamFnDataReadRunner.java,1,False
flink,17275,hililiwei,Airblader,"Since FLINK-24271 is about adding an example on how to access keys with ""non-trivial"" names, how about keeping the example as simple as possible to focus on actually showing how to do that? For example, like this:

```
// STRING: '1'
JSON_VALUE('{""a.b"": ""1""}', '$.[''a.b'']')
```

Please also run the docs locally and make sure that the line length of the example doesn't cause the code block to scroll. If it does, line-break the example (as I did in the examples above) to prevent it from scrolling.",1,True
flink,11542,jerry-024,GJL,"```suggestion
public class JobManagerLogListHandlerTest extends TestLogger {
```",0,False
beam,4989,reuvenlax,kennknowles,I think it is important to note that these are implementation of `OutputReceiver` in terms of the legacy contexts. It is just a convenience adapter. Do you really need it? I think you probably just want to have runners build appropriate `OutputReceiver` instances for the runner to avoid the additional indirection. So anyhow javadoc and comment should be more specific about what this is for and when to use it.,1,True
kafka,5660,asasvari,viktorsomogyi,maybe we need to  fetch broker list using ```self.kafka.bootstrap_servers(self.security_config.security_protocol)```?,1,True
flink,19177,fredia,Myasuka,"```suggestion
        // TODO remove this once we introduce AbstractStreamOperatorTestHarnessBuilder.
        try {
            this.checkpointStorageAccess = environment.getCheckpointStorageAccess();
        } catch (NullPointerException | UnsupportedOperationException e) {
            // cannot get checkpoint storage from environment, use default one.
        }

```",0,True
flink,6735,bmeriaux,azagrebin,the exception can also go from the doc string,1,False
cloudstack,5831,Pearl1594,DaanHoogland,rather no stacktraces on error level. my take on this is if you want it log the message twice and add the trace to a debug level message. Also the exception is being re-thrown so we need to think about whether the stacktrace is needed at this point.,1,False
flink,13521,dawidwys,aljoscha,My IDE is warning me about a bunch of exceptions that are declared but never thrown in these methods.,1,True
flink,11804,bowenli86,wuchong,"```suggestion
To set a `JDBCCatalog`,
```",0,True
geode,7227,Kris-10-0,jdeppe-pivotal,Do you know that this is necessary? Is there a test that covers this scenario for native Redis (I couldn't see one).,1,True
parquet-mr,705,martinradev,shangxinli,"While we keep adding, the parameter list becomes so long. It is not just because of the one you added, so it is OK for this change. But I think we need to refactor it later. I created PARQUET-1764 to address it. ",0,True
druid,3838,jon-wei,leventov,Please extract a singleton,0,True
netbeans,364,ghost,vieiro,Not OK to remove JCVariableDecl here.,1,True
kafka,4485,lepolac,cmccabe,nit: revert,0,True
druid,14590,kfaraz,writer-jill,"```suggestion
|`maxSegmentsInNodeLoadingQueue`|0|Removes the limit on load queue size.|
```",0,True
guacamole-client,375,leetxyz,necouchman,"If this is the German translation of this string, keep it - if it is not being translated, remove it...and so on :-).",0,False
netbeans,3156,mishrasandeep,lahodaj,"The `@since` should be updated, module's spec version incremented; and apichanges.xml filled.",0,False
flink,4533,zhijiangW,pnowojski,`channel`,1,False
beam,24488,sirenbyte,alxp1982,What is the challenge here? We should invite users to experiment by giving a challenge.,1,False
flink,18134,slinkydeveloper,twalthr,Drop this line. Line 17 is enough explanation.,1,False
beam,3356,reuvenlax,jkff,Why go through a coder here? Seems like Params can simply be Serializable,1,True
flink,11920,KarmaGYZ,xintongsong,"```suggestion
		if (output != null && !output.isEmpty()) {
```",0,True
shardingsphere,13179,lwclover,TeslaCN,This exception shoud be handled in `org.apache.shardingsphere.proxy.frontend.mysql.err.MySQLErrPacketFactory` and `org.apache.shardingsphere.proxy.frontend.postgresql.err.PostgreSQLErrPacketFactory`.,0,False
iotdb,6622,liuminghui233,JackieTien97,Updating inputTsBlock here won't change anything about the caller's real inputTsBlock. So it may need iterate from start again.,0,True
nifi,7388,timeabarna,exceptionfactory,"This method name does not align with the returned object, is it necessary for the method to be public?",1,True
rocketmq,4059,chaiyx,Git-Yang,Any assert here?,1,False
ignite,7057,petrov-mg,NSAmelchev,Lets do event type as const ang get it from `EventType`. This class is for only one type of event.,0,False
shenyu,932,Severezh,tydhot,"I don't think http path can be ""/springmvc-register"".",1,True
nifi,5692,tpalfy,exceptionfactory,"The specific URL should be changed to something generic, perhaps `hostname.snowflakecomputing.com`.",1,True
shardingsphere,24536,galaxylqx,terrymanu,Please add javadoc,0,True
pulsar,11357,congbobo184,eolivelli,"This is a busy loop.
Can we add a timeout to poll? This way the thread may suspend ",1,False
pulsar,4174,wolfstudy,sijie,throw new UnsupportedOperationException if a feature is not implemented.,1,True
nifi,6838,timeabarna,dam4rus,Is there a reason you explicitly override this method? If you only call the super method you can omit this override,1,True
iotdb,1204,mychaow,qiaojialin,please add javadoc and an example,0,False
geode,7131,Bill,jake-at-work,"You need the category params runner or delete the category, without that runner the category is ignored.",1,False
flink,9501,carp84,tillrohrmann,This class looks almost identical to `ByteArrayInputStreamWithPos`. I was wondering whether we can't unify them or have an abstract base class. Not sure what the performance price of `ByteBuffer.wrap(byte[])` would be.,1,False
flink,11290,dawidwys,twalthr,nit: unrelated change?,1,True
zookeeper,898,enixon,anmolnar,nit: You can overload the constructor to avoid modifying the signature at so many places.,0,False
flink,6777,klion26,azagrebin,"Also here without s:
`The thread number used`",0,False
cassandra,2267,blambov,maedhroz,"```suggestion
        final LongStack rowOffsets = new LongStack();
```",0,True
flink,18108,slinkydeveloper,twalthr,I think we should group runtime classes by operator. Rather `org.apache.flink.table.runtime.operators.join.interval.`?,1,True
hive,4091,SourabhBadhya,deniskuzZ,"would it actually trigger compaction?
PS: we should deprecate. this config on HS2 side",1,True
beam,6574,swegner,alanmyrvold,Should be {{ site.baseurl }},1,True
flink,18333,JingGe,Airblader,"```suggestion
      <td>每次退避尝试之间的延迟。对于 <code>CONSTANT</code> 退避策略，该值是每次重试之间的延迟。对于 <code>EXPONENTIAL</code> 退避策略，该值是初始的延迟。</td>
```",0,True
pulsar,15137,liangyepianzhou,codelipenghui,The `maxLag` should >= `minLag` and `minLag` should > 0,1,False
beam,9309,ttanay,udim,Could you use `create_bq_dataset` from `tests/utils.py` to create the dataset?,1,False
samza,796,rmatharu-zz,vjagadish1989,Consider exposing `isStreamMonitoringEnabled` as a convenience API on the JobConfig class?,1,False
fineract,3229,kukim1289,adamsaghy,Please use assertions instead of printing something on the console...,0,True
flink,5105,pnowojski,NicoK,should we mark this `@Nullable`?,1,True
activemq-artemis,3605,clebertsuconic,franz1981,We should declare the largeObject here instead of 4 lines before (even if that was how it was done before),1,True
shardingsphere,5363,SanmuWangZJU,tristaZero,I like this detailed java doc.,0,True
hadoop,1881,mehakmeet,steveloughran,nit: should be in its own block after the non org-apache-hadoop imports,0,True
flink,6924,yanghua,pnowojski,Please deduplicate the code here with `kafka-common.sh`,0,True
eventmesh,4337,maxim-zgardan,Pil0tXia,This modification shouldn't be part of this PR. The good thing is that this update won't affect the current workflow configuration. Acceptable.,0,True
incubator-kie-drools,4994,mariofusco,lucamolteni,We shouldn't use string concatenation to generate Java source code,1,True
geode,5256,jake-at-work,DonalEvans,"While we're here, it might be worth cleaning up uses of this warning suppression using the `uncheckedCast()` method, as used elsewhere in this change set. There is one cast in this method (line 651) and one on line 633 of `getSizeInBytes()`.",0,True
inlong,5852,liangyepianzhou,dockerzhang,version is not needed here.,1,False
hudi,3142,codope,nsivabalan,java docs.,0,True
phoenix,298,ortutay,maryannxue,"Nice test. Since the persistent cache is supposed to be reusable across different queries, can we have another test in which the same cache is used for different queries?",1,True
hadoop,5519,steveloughran,mehakmeet,"typo: ""l < excludedFinish""",0,False
geode,4094,upthewaterspout,bschuchardt,"A comment about what this interface is for would be nice.  Maybe a different name would help, too, like LogWithToString.",0,True
flink,12728,godfreyhe,twalthr,"we try to avoid the terminology `streaming` and `batch` in the code base, instead we call it `unbounded` or `bounded`",1,False
shardingsphere,23171,gxxiong,strongduanmu,Why we need networkNumberLength param?,1,True
hadoop,3618,9uapaw,brumi1024,Why call this twice for the same rm?,1,False
solr,851,anshumg,janhoy,"```suggestion
* Jetty Request log is now enabled by default, i.e. logging every request.
```
```suggestion
* xref:deployment-guide:configuring-logging.adoc#request-logging[Jetty Request log] is now enabled by default, i.e. logging every request.
```",0,True
hadoop,3618,9uapaw,brumi1024,Is this actually needed? Is there a test which calls CapacitySchedulerTestUtilities.getCapacityScheduler on a Fair/FifoScheduler?,1,True
kafka,12735,shekhar-rajak,divijvaidya,"Please modify this to `when(workerSourceTask.isStopping()).thenReturn(false).thenReturn(false).thenReturn(true)`.

Currently it incorrectly sets the last invocation to `false`. Also, I might be wrong but re-defining invocation behaviour picks up the latest value and discards the earlier ones. Hence the right way is to chain them as I mentioned above.",0,True
dubbo-admin,671,KeRan213539,beiwei30,pls. remove author info.,0,True
solr,1625,noblepaul,dsmiley,"At least a one line javadoc on what this is.  Seems similar to the other ""tags"" although the value varies?  Say that.",1,False
camel,4561,jam01,oscerd,Add ASF license please,0,True
flink,9089,JingsongLi,KurtYoung,change to TestHiveGenericeUDTF?,1,False
iceberg,2887,jackye1995,rdblue,Thanks for removing this!,0,False
samza,603,prateekm,cameronlee314,Are we going to go with stream-level transformers from the start? I thought we were going to leave it out for now to keep it simpler until we find an actual use case.,1,False
ignite,6976,alamar,agura,"I think that method name doesn't reflect it's behavior. Moreover it actually doesn't check keys ordering but only check that ordered collection type or some internal collection is used. Also method doesn't return any value and doesn't throw any exception. So `check` word doesn't fit here from my point of view.

What about `warnIfUnordered` name? While it still doesn't describe all aspects it explain our intention. 

The same for version with `Collection` parameter.

WDYT?",1,False
flink,4368,pnowojski,tzulitai,I think it would be more informative if we include the index of the sink subtask inside the name.,1,True
iceberg,4254,kunal0829,jackye1995,we need to check and initialize `hadoopConf` like in `loadFileIO` (L373),1,True
hbase,604,meszibalu,busbey,"I think this should be ""net/"" instead of ""net."" and then the shade plugin will look for both because it takes the slash to mean  like a package delimiter.",1,True
ratis,298,amaliujia,runzhiwang,Is randomAccessFile.close() enough ? not sure.,1,False
druid,13465,ektravel,317brian,We updated the description of this and the stuff on line 94. See my PR for what we did based on feedback from Will and Charles,0,True
flink,11081,dawidwys,twalthr,nit: remove the `@return` everywhere?,1,True
beam,10829,stankiewicz,aaltay,"Can we expand this also into the individual runners, e.g.
```
flink: [""runners/flink/*""]
spark: [""runners/spark/*""]
...
```",0,False
beam,23776,nausharipov,alexeyinkin,No `else` after `return`.,0,True
ignite,7813,rkondakov,AMashenkov,Javadoc,0,False
phoenix,453,swaroopak,karanmehta93,Change this to INFO,0,True
flink,22539,xishuaidelin,LadyForest,The test does not assert anything...,1,True
iotdb,7978,wanghui42,THUMarkLau,"```suggestion
    + 合并过程中产生的临时文件
```",0,True
incubator-hugegraph,1527,Linary,javeme,unused?,1,True
iotdb,2352,Alima777,JackieTien97,Same as above.,0,False
flink,15280,leonardBang,wuchong,"Would be better to mention:

```
            // 2021-11-07 00:00:00 => long epoch0 = 1636268400000L;
            // 2021-11-07 01:00:00 => long epoch1 = 1636272000000L; register 1636275600000L
            // 2021-11-07 02:00:00 => long epoch2 = 1636279200000L;
```",0,True
druid,4823,jon-wei,jihoonson,Similar comment here. It would be great if some known errors like duplicated roleName are properly handled.,0,True
iotdb,1466,yuyuankang,jt2594838,And here.,0,True
ignite,8820,atris,SammyVimes,inheritDoc missing here,1,False
flink,13912,sjwiesman,dianfu,"could be replaced with only one line as following:
```
self._j_rocks_db_state_backend.setPredefinedOptions(options._to_j_predefined_options()
```",0,True
netbeans,2515,dbalek,JaroslavTulach,"The ""Java 8+"" name seems to nicely stress the core functionality of Apache NetBeans Language Server VSCode extension - e.g. the ability to run on JDK8 (other extensions require JDK11). I think it is a good name.",0,False
flink,13306,meetjunsu,JingsongLi,"use `(ref, index)` instead of `r` in `map`",1,True
shardingsphere,17920,kaori-seasons,terrymanu,Typo class name,1,True
beam,3378,sberyozkin,jkff,It would be good if the example included something that you can do with these strings.,1,True
beam,6202,jhalaria,iemejia,inline (just) `return input.apply...`,0,True
ignite,8575,Sega76,anton-vinogradov,reason to have slept here?,1,True
nifi,6712,MikeThomsen,ChrisSamo632,"```suggestion
            } else if (getLogger().isDebugEnabled()) {
                    getLogger().debug(output);
            }
```",0,True
geode,6025,nonbinaryprogrammer,sabbey37,Thanks for adding this test and merging the files!  We get a different error when incrementing a key that is set above the max long value value (so setting a key to 9223372036854775808 then trying to incrby 1 (which results in `ERR value is not an integer or out of range`)). Could we add a test for that as well?,1,True
accumulo,2811,DomGarguilo,keith-turner,"```suggestion
      if [[ -f ""$conf""/cluster.yaml ]]; then
        echo ""ERROR : $conf/cluster.yaml already exists, not overwriting""
        exit 1
      fi
```",0,False
beam,9758,jfarr,lukecwik,"Style note, you can create one class called `AwsCoders` which has three static methods `minimalSdkHttpMetadata()` and `fullSdkHttpMetadata()` and `responseMetadata()` that return the coders. This way you can make all the coder implementations private inner static classes and they all become implementation details without needing to expose them to users. Users can still get an instance if they need one but it gives us flexibility from a maintenance point of view how the coders are organized.",0,True
hadoop,143,xslogic,kambatla,"Annotate TODO with JIRA?
",1,False
geode,7217,kirklund,mhansonp,Might be good to assert success here.,0,True
pulsar,16993,youzipi,tisonkun,"```suggestion
        assertEquals(repCluster, new HashSet<>());
```",0,False
camel,10293,jbonofre,essobedo,"```suggestion
        if (getConfiguration() instanceof ActiveMQConfiguration activeMQConfiguration) {
            return activeMQConfiguration.getBrokerURL();
```",0,False
druid,11608,clintropolis,techdocsmith,"```suggestion
To configure the `mysql-metadata-storage` extension to use the MariaDB connector library instead of MySQL,  set the following in the Druid properties: `druid.metadata.mysql.driver.driverClassName=org.mariadb.jdbc.Driver` 
Depending on the MariaDB client library version, the connector supports both `jdbc:mysql:` and `jdbc:mariadb:` connection URIs. However, the parameters to configure the connection vary between implementations, so be sure to [check the documentation](https://mariadb.com/kb/en/about-mariadb-connector-j/#connection-strings) for details.
```",0,True
flink,4485,zhijiangW,NicoK,please remove the space after <p> (checkstyle),0,True
incubator-hugegraph,1527,Linary,javeme,translate to English,0,True
samza,374,srinipunuru,nickpan47,Samza SQL demo was not mentioned before. Is it the same as Samza SQL User Guide?,1,True
flink,13217,rmetzger,tillrohrmann,What `requestJobStatus` return in this case?,1,False
dubbo,6720,owen200008,AlbumenJ,also,0,False
flink,14629,wangyang0918,xintongsong,"```suggestion
can be overwritten by Flink.
```",0,False
nifi,3231,MikeThomsen,mattyb149,"These should be updated to 1.10.0-SNAPSHOT, sorry for the delay in reviewing",0,False
fineract,3411,abraham-menyhart,adamsaghy,Please use `ExternalId` type here,0,False
kafka,5032,asasvari,vahidhashemian,unused import?,1,False
flink,10022,JingsongLi,bowenli86,the comment seems not relevant to `HiveRecordReader`,1,True
flink,3150,sunjincheng121,twalthr,wrap last argument as well,0,True
iotdb,4081,jun0315,SteveYurongSu,Use the same version as the parent pom.xml?,1,False
ignite,8169,zstan,ptupitsyn,"When there is no exception, this test won't fail and won't check anything.
Please either insert `assert false`, or use one of the `GridTestUtils.assertThrows` helpers.",0,True
flink,15561,yittg,tillrohrmann,I needed a bit to understand this logic. Could we make this a bit more explicit. E.g. asserting that `*ChildrenBefore` contains `JobID` and `*ChildrenAfter` does not contain `JobID`?,1,True
flink,10251,kl0u,aljoscha,"Maybe something like `JobClientOnClusterClient`, or `ClusterClientJobClient`. To show that it's using a `ClusterClient` underneath.",1,True
iotdb,4257,cornmonster,SteveYurongSu,"```suggestion
    | CN_CHAR
```
```suggestion
    |   CN_CHAR
```",0,True
maven,234,belingueres,michael-o,imports should stay below the license,1,False
inlong,8424,ZhaoNiuniu,fuweng11,Suggest use DTO.,0,True
hive,2086,ramesh0201,t3rmin4t0r,make it final.,0,False
shardingsphere,20849,azexcy,sandynz,"1, It's not just used for MIGRATION, so prefix is not necessary;

2, `/jobs/(j01[0-9a-f]+`, 1) `01` should not be hard-coded, 2) it's better to reuse one prefix, the old one could be updated if it's wrong;
",1,False
shardingsphere,21387,tuichenchuxin,strongduanmu,Can we extract these logic to SPI implementation?,1,False
iotdb,4453,Plutooooooo,SteveYurongSu,"```suggestion
```",0,True
fineract,2915,b0c1,galovics,FineractProperties class?,1,True
shardingsphere,21929,azexcy,sandynz,"Seems it should not be ignored when entry.value is null, the `item` is shown in result currently",0,True
guacamole-client,413,dg-hasimoto,necouchman,This entire section can probably be removed if it is not being translated.,1,True
flink,11238,WeiZhong94,zentol,this is BSD licensed based on the python NOTICE,0,False
nutch,490,balashashanka,sebastian-nagel,Same here: should use the annotation.,0,True
skywalking,4145,mrproliu,wu-sheng,"Reading this makes me feel, we should set the duration in minute level only, and remove the step in the protocol. @kezhenxu94 @arugal  What do you think?",1,False
kafka,13561,satishd,divijvaidya,"We don't need to calculate this for time based retention. Right? If yes, can we refactor the code here so that we perform size calculation (since it requires a full scan over all log segments) only when it's required i.e. for size based retention.",1,False
hadoop,1872,bilaharith,DadanielZ,need to update this `@return` documentation too.,0,False
shardingsphere,22779,azexcy,sandynz,Could we add unit tests for JobDataNodeLineConvertUtil?,1,True
shardingsphere,4789,jingshanglu,tristaZero,"Hi You should reverse those changes, for spaces is needed.",0,True
